DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/25/18,17:00,   269.32000000,   258.16517603,
01/25/18,18:00,   256.76000000,   256.47608802,
01/25/18,19:00,   248.29000000,   249.50854401,
01/25/18,20:00,   249.02000000,   241.89564700,
01/25/18,21:00,   254.43000000,   238.44507350,
01/25/18,22:00,   250.78000000,   239.35716175,
01/25/18,23:00,   254.42000000,   238.03383088,
01/26/18,00:00,   248.43000000,   239.14666544,
01/26/18,01:00,   248.44000000,   236.78295772,
01/26/18,02:00,   257.20000000,   235.60597886,
01/26/18,03:00,   258.37000000,   239.28798943,
01/26/18,04:00,   248.14000000,   241.69936971,
01/26/18,05:00,   249.61000000,   237.91793486,
01/26/18,06:00,   252.52000000,   236.74384243,
01/26/18,07:00,   257.50000000,   237.57542121,
01/26/18,08:00,   252.82000000,   240.41896061,
01/26/18,09:00,   200.38000000,   239.55923030,
01/26/18,10:00,   205.79000000,   213.56486515,
01/26/18,11:00,   197.46000000,   203.20505758,
01/26/18,12:00,   207.54000000,   193.96427879,
01/26/18,13:00,   203.74000000,   194.25788939,
01/26/18,14:00,   208.12000000,   192.55219470,
01/26/18,15:00,   271.51000000,   193.83459735,
01/26/18,16:00,   270.20000000,   225.37842367,
01/26/18,17:00,   262.75000000,   240.51171184,
01/26/18,18:00,   270.78000000,   244.44648092,
01/26/18,19:00,   266.99000000,   250.32849046,
01/26/18,20:00,   278.09000000,   251.42187023,
01/26/18,21:00,   270.34000000,   257.37981011,
01/26/18,22:00,   269.47000000,   256.58065506,
01/26/18,23:00,   272.83000000,   255.75695253,
01/27/18,00:00,   274.87000000,   256.98310126,
01/27/18,01:00,   274.14000000,   258.59067563,
01/27/18,02:00,   251.07000000,   259.03858782,
01/27/18,03:00,     1.02000000,   248.01591891,
01/27/18,04:00,     3.79000000,   124.00795945,
01/27/18,05:00,     1.46000000,    62.00397973,
01/27/18,06:00,     3.07000000,    31.00198986,
01/27/18,07:00,     1.75000000,    15.50099493,
01/27/18,08:00,   266.40000000,     7.75049747,
01/27/18,09:00,   258.51000000,   129.84524873,
01/27/18,10:00,   262.75000000,   187.04624937,
01/27/18,11:00,   259.83000000,   217.71374968,
01/27/18,12:00,   261.73000000,   231.62399984,
01/27/18,13:00,   258.81000000,   239.50537492,
01/27/18,14:00,   264.36000000,   242.02256246,
01/27/18,15:00,   262.60000000,   245.98678123,
01/27/18,16:00,   267.13000000,   247.11089062,
01/27/18,17:00,     3.65000000,   249.88132031,
01/27/18,18:00,     0.00000000,   124.94066015,
01/27/18,19:00,     0.00000000,    62.47033008,
01/27/18,20:00,     1.31000000,    31.23516504,
01/27/18,21:00,     4.67000000,    15.61758252,
01/27/18,22:00,   274.14000000,     7.80879126,
01/27/18,23:00,   270.05000000,   133.64764563,
01/28/18,00:00,   281.74000000,   194.57319781,
01/28/18,01:00,   270.49000000,   230.73484891,
01/28/18,02:00,   267.43000000,   243.33129945,
01/28/18,03:00,   268.45000000,   248.13777473,
01/28/18,04:00,   261.87000000,   251.03826236,
01/28/18,05:00,   253.55000000,   249.28075618,
01/28/18,06:00,     1.75000000,   244.34600309,
01/28/18,07:00,     3.21000000,   122.17300155,
01/28/18,08:00,     0.88000000,    61.08650077,
01/28/18,09:00,   242.74000000,    30.54325039,
01/28/18,10:00,   246.83000000,   129.70737519,
01/28/18,11:00,   252.09000000,   181.28331260,
01/28/18,12:00,   252.67000000,   209.63553130,
01/28/18,13:00,   251.06000000,   224.09439065,
01/28/18,14:00,   256.18000000,   230.53894532,
01/28/18,15:00,   250.92000000,   236.25722266,
01/28/18,16:00,   252.23000000,   236.55211133,
01/28/18,17:00,   252.96000000,   237.33818067,
01/28/18,18:00,   259.83000000,   238.08709033,
01/28/18,19:00,   251.80000000,   241.81067017,
01/28/18,20:00,   250.19000000,   239.75783508,
01/28/18,21:00,   252.09000000,   237.94654254,
01/28/18,22:00,   260.71000000,   237.96714627,
01/28/18,23:00,   253.84000000,   242.17969814,
01/29/18,00:00,   242.45000000,   240.93684907,
01/29/18,01:00,   248.00000000,   234.76279953,
01/29/18,02:00,     0.00000000,   234.38139977,
01/29/18,03:00,     0.00000000,   117.19069988,
01/29/18,04:00,     2.92000000,    58.59534994,
01/29/18,05:00,     3.51000000,    29.29767497,
01/29/18,06:00,     0.73000000,    14.64883749,
01/29/18,07:00,   253.11000000,     7.32441874,
01/29/18,08:00,   246.54000000,   123.15333437,
01/29/18,09:00,   214.99000000,   177.86491719,
01/29/18,10:00,   259.83000000,   189.84008359,
01/29/18,11:00,   253.69000000,   217.68716680,
01/29/18,12:00,   260.71000000,   228.61745840,
01/29/18,13:00,   205.79000000,   237.50485420,
01/29/18,14:00,   259.98000000,   215.17505210,
01/29/18,15:00,   299.56000000,   230.42777605,
01/29/18,16:00,   200.24000000,   257.34938802,
01/29/18,17:00,   199.80000000,   222.39169401,
01/29/18,18:00,   196.30000000,   204.69834701,
01/29/18,19:00,   207.40000000,   194.14542350,
01/29/18,20:00,   197.90000000,   194.28021175,
01/29/18,21:00,   264.50000000,   189.71635588,
