DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/26/18,02:00,   218.03880475,829688.52107826,   213.79539215,   173.00001759,
01/26/18,03:00,   222.55391721,829856.98791452,   213.79858039,   174.00001760,
01/26/18,04:00,   224.13828354,830034.63381263,   213.80194235,   174.00001760,
01/26/18,05:00,   219.51413213,830210.40809747,   213.80526889,   172.00001761,
01/26/18,06:00,   218.72053544,830387.23043552,   213.80861526,   168.00001762,
01/26/18,07:00,   220.30680594,830230.67958647,   213.80565253,   358.00001761,
01/26/18,08:00,   223.16880228,829743.73561798,   213.79643709,   356.00001759,
01/26/18,09:00,   217.91233934,829110.28160955,   213.78444893,   437.00001757,
01/26/18,10:00,   188.90447667,828515.95181500,   213.77320121,   300.00001755,
01/26/18,11:00,   179.95174487,828332.09295050,   213.76972167,   171.00001754,
01/26/18,12:00,   172.90968649,828403.84346386,   213.77107955,   142.00001754,
01/26/18,13:00,   175.18252557,828526.40938231,   213.77339912,   138.00001755,
01/26/18,14:00,   174.39874060,828658.85559832,   213.77590567,   138.00001755,
01/26/18,15:00,   181.11486177,828418.58001929,   213.77135844,   351.00001754,
01/26/18,16:00,   216.70932376,827862.06349031,   213.76082633,   356.00001752,
01/26/18,17:00,   229.15939375,827717.82711860,   213.75809665,   170.00001752,
01/26/18,18:00,   230.65585144,827928.09449678,   213.76207597,   173.00001752,
01/26/18,19:00,   235.14275056,828147.33191749,   213.76622506,   171.00001753,
01/26/18,20:00,   235.71716560,828384.67970358,   213.77071688,   168.00001754,
01/26/18,21:00,   241.15744061,828636.45393153,   213.77548172,   169.00001755,
01/26/18,22:00,   239.13705408,828894.38395878,   213.78036306,   168.00001756,
01/26/18,23:00,   238.15628234,829145.11190120,   213.78510810,   170.00001757,
01/27/18,00:00,   239.68623167,829699.22836295,   213.79559478,     0.00001759,
