TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  139,   209.56468138,635938.42432797,   210.12866057,   230.00001026,
  140,   212.69234069,635870.48693092,   210.12737485,   230.00001025,
  141,   214.25617034,635891.99421403,   210.12778187,   185.00001026,
  142,   210.08808517,635989.81383693,   210.12963312,   185.00001026,
  143,   190.67904259,636378.19462998,   210.13698324,     0.00001027,
  144,   133.94952129,636962.52600806,   210.14804175,     0.00001030,
  145,    75.88476065,637340.22767861,   210.15518977,     0.00001031,
  146,    46.85238032,637561.15449531,   210.15937083,     0.00001032,
  147,    32.33619016,637703.69388487,   210.16206839,     0.00001032,
  148,    27.55309508,637811.49456112,   210.16410853,     0.00001033,
  149,    27.63654754,637577.83588059,   210.15968652,   185.00001032,
  150,    27.67827377,637011.40252192,   210.14896674,   185.00001030,
  151,    26.70913689,636362.29982416,   210.13668243,   230.00001027,
  152,    13.35456844,635687.41445663,   210.12391019,   185.00001025,
  153,     6.67728422,635057.47175462,   210.11198849,   185.00001022,
  154,   132.03864211,634641.16038525,   210.10410977,   185.00001021,
  155,   151.65432106,634404.80768239,   210.09963678,   230.00001020,
  156,   241.65216053,634365.75931237,   210.09889779,   185.00001020,
  157,   292.09608026,634660.50610916,   210.10447589,   185.00001021,
  158,   231.68304013,634937.30848906,   210.10971439,   185.00001022,
  159,   274.24152007,635181.97266071,   210.11434468,   185.00001023,
  160,   295.52076003,635541.54472821,   210.12114960,   185.00001024,
  161,   233.39538002,635827.59374344,   210.12656309,   185.00001025,
  162,   202.33269001,635945.90423257,   210.12880212,   185.00001026,
  163,   114.03634500,635849.36845867,   210.12697518,   185.00001025,
  164,    69.88817250,635514.43255317,   210.12063650,   185.00001024,
  165,    47.81408625,635060.29658214,   210.11204195,   185.00001022,
  166,    36.77704313,634546.56057841,   210.10231947,   185.00001020,
  167,    31.25852156,634003.02455832,   210.09203302,   185.00001018,
  168,   101.26426078,633575.56553003,   210.08394333,   185.00001017,
  169,   136.26713039,633670.12199761,   210.08573282,     0.00001017,
  170,   134.95856520,634158.32821322,   210.09497215,     0.00001019,
  171,    67.47928260,634522.71630244,   210.10186821,     0.00001020,
  172,    33.73964130,634704.91032882,   210.10531624,     0.00001021,
  173,    16.86982065,634382.00732355,   210.09920529,   230.00001020,
  174,     8.43491032,633599.55580268,   210.08439735,   230.00001017,
  175,    39.36245516,632857.59102397,   210.07035562,   230.00001014,
  176,    54.82622758,632199.13061652,   210.05789422,   230.00001012,
  177,    62.55811379,631582.42239471,   210.04622298,   230.00001009,
  178,    66.42405690,630986.59026571,   210.03494683,   230.00001007,
  179,    68.35702845,630401.19618311,   210.02386821,   230.00001005,
  180,    69.32351422,629821.02112394,   210.01288836,   230.00001003,
  181,    34.66175711,629180.19457609,   210.00076068,   230.00001000,
  182,    17.33087856,628445.78128435,   209.98320141,   230.00000998,
  183,   116.57543928,627975.81262061,   209.97182918,   165.00000997,
  184,   161.24771964,627881.89427073,   209.96955656,   165.00000997,
  185,   229.12385982,627990.56307804,   209.97218611,   165.00000997,
  186,   263.06192991,628282.49746367,   209.97925029,   165.00000998,
  187,   207.26596495,628535.08763849,   209.98536243,   165.00000999,
  188,   252.13298248,628768.00570790,   209.99099854,   165.00000999,
  189,   274.56649124,629122.06472480,   209.99956601,   165.00001000,
  190,   285.78324562,629536.69421522,   210.00750746,   165.00001002,
  191,   218.62662281,630147.63194243,   210.01906949,     0.00001004,
  192,   180.59331140,630866.22778799,   210.03266896,     0.00001007,
  193,   157.12165570,631474.11469256,   210.04417325,     0.00001009,
  194,   145.38582785,632018.62812678,   210.05447820,     0.00001011,
  195,    72.69291393,632411.16982553,   210.06190707,     0.00001012,
