TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  196,    41.21350089,637198.03988013,   210.15249886,     0.00001030,
  197,    22.60675045,637312.91629543,   210.15467290,     0.00001031,
  198,    13.30337522,637024.75448441,   210.14921943,   196.00001030,
  199,     8.65168761,636358.67356057,   210.13661381,   196.00001027,
  200,    25.82584381,635715.13308025,   210.12443477,   196.00001025,
  201,    34.41292190,635117.96282163,   210.11313329,   196.00001023,
  202,    19.20646095,634508.87767387,   210.10160631,   196.00001020,
  203,    11.60323048,634211.53508153,   210.09597909,     0.00001019,
  204,     7.80161524,633893.66376733,   210.08996336,   196.00001018,
  205,    28.40080762,633606.02809200,   210.08451984,     0.00001017,
  206,    16.20040381,633686.31023588,   210.08603918,     0.00001017,
  207,    10.10020190,633380.85128936,   210.08025835,   196.00001016,
  208,   173.55010095,633005.82179808,   210.07316090,   196.00001015,
  209,   255.27505048,633072.10703420,   210.07441535,   196.00001015,
  210,   443.13752524,633623.64963402,   210.08485332,   196.00001017,
  211,   243.06876262,634153.22091569,   210.09487549,   196.00001019,
  212,   216.53438131,634274.90653819,   210.09717840,   196.00001019,
  213,   276.76719065,634457.24933103,   210.10062925,   196.00001020,
  214,   453.88359533,635066.82070921,   210.11216542,   196.00001022,
  215,   321.94179766,636110.50637964,   210.13191723,     0.00001026,
  216,   231.47089883,637106.64919618,   210.15076929,     0.00001030,
  217,   117.73544942,637735.22058600,   210.16266504,     0.00001033,
  218,    60.86772471,638056.70626224,   210.16874917,     0.00001034,
  219,    32.43386235,638224.64908169,   210.17192750,     0.00001034,
  220,    18.21693118,638315.82047275,   210.17365292,     0.00001035,
  221,    11.10846559,638368.60614961,   210.17465190,     0.00001035,
  222,     7.55423279,638402.19896959,   210.17528764,     0.00001035,
  223,     5.77711640,638073.39536069,   210.16906501,   196.00001034,
  224,     4.88855820,637386.99353779,   210.15607482,   196.00001031,
  225,     4.44427910,636698.19260767,   210.14303922,   196.00001029,
  226,     4.22213955,635973.99212416,   210.12933369,   215.00001026,
  227,     4.11106977,635601.99186395,   210.12229356,     0.00001024,
  228,     4.05553489,635263.89171561,   210.11589500,   196.00001023,
  229,     4.02776744,634925.64162296,   210.10949360,     0.00001022,
  230,     4.01388372,634940.11655830,   210.10976754,     0.00001022,
  231,     4.00694186,634954.55400752,   210.11004076,     0.00001022,
  232,     4.00347093,634968.97271389,   210.11031364,     0.00001022,
  233,     4.00173547,634983.38204840,   210.11058634,     0.00001022,
  234,   159.00086773,634974.38669742,   210.11041610,   168.00001022,
  235,   160.50043387,634944.68900369,   210.10985407,   168.00001022,
  236,   234.75021693,635051.34013837,   210.11187245,   168.00001022,
  237,   271.87510847,635358.46568726,   210.11768482,   168.00001024,
  238,   216.93755423,635633.52844347,   210.12289039,   168.00001025,
  239,   262.96877712,635892.55980290,   210.12779258,   168.00001026,
  240,   212.48438856,636143.57546438,   210.13254306,   168.00001027,
  241,   260.74219428,636692.98327645,   210.14294064,     0.00001029,
  242,   132.37109714,637400.58716382,   210.15633208,     0.00001031,
  243,    68.18554857,637761.58908905,   210.16316406,     0.00001033,
  244,    36.09277428,637949.29003299,   210.16671631,     0.00001033,
  245,    20.04638714,637697.54048651,   210.16195194,   196.00001032,
  246,    12.02319357,637049.66569461,   210.14969087,   196.00001030,
  247,    12.51159679,636388.22828020,   210.13717313,   196.00001027,
  248,   101.25579839,635887.40955464,   210.12769511,   196.00001026,
  249,   145.62789920,635626.20017325,   210.12275171,   196.00001025,
  250,   241.31394960,635617.09546410,   210.12257940,   196.00001025,
  251,   215.65697480,635734.04309107,   210.12479264,   196.00001025,
  252,   202.82848740,635781.71688611,   210.12569487,   196.00001025,
  253,   196.41424370,635794.75376517,   210.12594159,   196.00001025,
  254,   119.70712185,635658.17218625,   210.12335678,   196.00001025,
  255,    81.35356092,635314.48137833,   210.11685241,   196.00001023,
  256,   135.67678046,634999.53595592,   210.11089205,   196.00001022,
  257,   236.33839023,634963.56322648,   210.11021126,   196.00001022,
  258,   213.16919512,635067.07684350,   210.11217027,   196.00001022,
  259,   275.08459756,635240.33363356,   210.11544916,   196.00001023,
  260,   306.04229878,635580.76201014,   210.12189179,   196.00001024,
  261,   174.52114939,635790.57617998,   210.12586253,   168.00001025,
  262,   179.26057469,635772.18324623,   210.12551444,   196.00001025,
  263,   184.63028735,636074.38676090,   210.13123366,     0.00001026,
  264,    98.81514367,636584.58849978,   210.14088926,     0.00001028,
  265,    51.40757184,636854.98935056,   210.14600661,     0.00001029,
