TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  250,    13.89700156,658435.31287463,   210.55441546,   330.00001111,
  251,    23.68175078,657314.95458882,   210.53321262,   330.00001107,
  252,   102.00062539,656650.18282597,   210.52063177,   165.00001104,
  253,   132.16906269,656477.68822487,   210.51736730,   165.00001103,
  254,   220.67978135,655987.81610425,   210.50809644,   460.00001102,
  255,   338.86114067,655338.98972423,   210.49581737,   460.00001099,
  256,   397.95182034,655540.25301431,   210.49962629,   165.00001100,
  257,   426.99766017,656728.16203961,   210.52210753,     0.00001104,
  258,   432.52958008,658275.31103220,   210.55138742,     0.00001110,
  259,   435.29554004,659540.39620826,   210.57532922,   165.00001115,
  260,   445.66952002,660532.13327634,   210.59409790,   165.00001119,
  261,   450.85651001,661551.88009011,   210.61339667,   165.00001123,
  262,   380.02350501,662336.46407659,   210.62824497,   230.00001126,
  263,   377.07450250,662988.24044964,   210.64057987,   165.00001128,
  264,   343.13250125,663690.61301577,   210.65387231,   165.00001131,
  265,   252.73500063,664169.17447855,   210.66292912,   165.00001133,
  266,   207.53625031,664403.66268951,   210.66736682,   165.00001133,
  267,   258.36337516,664945.28197472,   210.67761699,     0.00001136,
  268,   201.35943758,665772.78299672,   210.69327750,     0.00001139,
  269,   172.85746879,666446.37338731,   210.70602523,     0.00001141,
  270,   158.60648439,667043.00846197,   210.71731659,     0.00001143,
  271,   151.48099220,667601.16587846,   210.72787975,     0.00001146,
  272,    76.24049610,667714.06451609,   210.73001636,   165.00001146,
  273,   119.28899805,667472.01756417,   210.72543561,   165.00001145,
  274,    67.38674902,667214.03386785,   210.72055325,   165.00001144,
  275,    41.43562451,666815.91409919,   210.71301881,   165.00001143,
  276,   101.88656226,666479.89399406,   210.70665961,   165.00001141,
  277,   278.96503113,666571.42682116,   210.70839188,   165.00001142,
  278,   440.93076556,667273.23921415,   210.72167372,   165.00001144,
  279,   521.91363278,668412.35908982,   210.74323163,   165.00001149,
  280,   562.40506639,669770.13270704,   210.76892757,   165.00001154,
  281,   582.65078320,671534.23319461,   210.80231327,     0.00001160,
  282,   583.78264160,673633.81331746,   210.84204794,     0.00001168,
  283,   584.34857080,675439.44945767,   210.87621971,   165.00001175,
  284,   446.76953540,676701.46200665,   210.90010337,   165.00001180,
  285,   377.98001770,677592.01115972,   210.91695706,   165.00001183,
  286,   343.58525885,678296.82861473,   210.93029577,   165.00001186,
  287,   326.38787942,678908.78022081,   210.94187699,   165.00001188,
  288,   244.36268971,679639.13120229,   210.95569893,     0.00001191,
  289,   194.35909486,680428.83037164,   210.97064403,     0.00001194,
  290,   169.35729743,681083.51983482,   210.98303406,     0.00001197,
  291,   156.85639871,681670.70444471,   210.99414656,     0.00001199,
  292,   224.03244936,682356.30432789,   211.00712158,     0.00001201,
  293,   257.62047468,683223.27954785,   211.02352914,     0.00001205,
  294,   274.41448734,683883.94243600,   211.03603222,   165.00001207,
  295,   218.37599367,684176.96525819,   211.04157769,   165.00001208,
  296,   116.93024683,684186.51644742,   211.04175845,   165.00001208,
  297,    66.20737342,683922.16412045,   211.03675557,   165.00001207,
  298,    40.84593671,683520.86003539,   211.02916086,   165.00001206,
  299,   175.01821835,683315.41547114,   211.02527281,   165.00001205,
  300,   388.95735918,683736.57146746,   211.03324321,   165.00001207,
  301,   422.50042959,684486.19544379,   211.04742989,   230.00001209,
  302,   324.88646479,684589.49181005,   211.04938478,   460.00001210,
  303,   244.11148240,683957.68807129,   211.03742786,   460.00001207,
  304,   277.15049120,683653.95958046,   211.03167978,   230.00001206,
  305,   399.06449560,684043.14651336,   211.03904516,   230.00001208,
  306,   460.02149780,685175.50125794,   211.06047504,     0.00001212,
  307,   449.04149890,686514.81460835,   211.08582162,   165.00001217,
  308,   452.54249945,687543.66576137,   211.10529269,   165.00001221,
  309,   380.86649972,687918.80191574,   211.11239216,   460.00001222,
  310,   272.10149986,687438.14427099,   211.10329569,   460.00001221,
  311,   144.29249993,687062.65342688,   211.09618950,   165.00001219,
  312,   300.16799997,687268.68228268,   211.10008861,   165.00001220,
  313,   451.53224998,688027.74268875,   211.11445387,   165.00001223,
  314,   453.78787499,689063.31886973,   211.13405221,   165.00001227,
  315,   528.34218750,690534.15293811,   211.16188783,     0.00001232,
  316,   336.34884375,692090.59675007,   211.19134362,     0.00001238,
  317,   240.35217187,693128.65853371,   211.21098900,     0.00001242,
  318,   192.35383594,693907.52930298,   211.22572917,     0.00001245,
  319,    96.67691797,694427.78461528,   211.23557503,     0.00001247,
  320,   120.51620898,694818.73219890,   211.24297374,     0.00001249,
  321,    60.75810449,694848.02591805,   211.24352812,   165.00001249,
  322,    30.87905225,694418.97275510,   211.23540827,   165.00001247,
  323,    96.60827612,694054.44990139,   211.22850965,   165.00001246,
  324,   202.89938806,694296.56365189,   211.23309167,     0.00001247,
  325,   247.05394403,694809.47960477,   211.24279863,   165.00001249,
  326,   204.69572202,694353.62895889,   211.23417163,   540.00001247,
  327,   297.40261101,693313.40591345,   211.21448535,   540.00001243,
  328,   417.18255550,693330.65916843,   211.21481187,   165.00001243,
  329,   484.56502775,694656.80477347,   211.23990925,     0.00001248,
  330,   543.73076388,696507.73715334,   211.27493825,     0.00001255,
  331,   564.32263194,698205.23322062,   211.30706346,   165.00001261,
  332,   308.38506597,699182.10703130,   211.32555085,   165.00001265,
  333,   308.78778298,699699.01811390,   211.33533342,   165.00001267,
  334,   235.56264149,700084.84883213,   211.34263529,   165.00001269,
  335,   419.22957075,700669.47476848,   211.35369937,   165.00001271,
  336,   511.06303537,701750.00141357,   211.37414840,   165.00001275,
  337,   556.97976769,703078.47841314,   211.39928990,   165.00001280,
  338,   359.65863384,704431.42748993,   211.42489454,     0.00001285,
  339,   180.32931692,705403.40575503,   211.44328928,     0.00001289,
  340,    90.66465846,705891.19486440,   211.45252072,     0.00001291,
  341,    45.83232923,706136.88939570,   211.45717050,     0.00001291,
  342,    23.41616462,706261.53663796,   211.45952946,     0.00001292,
  343,    12.20808231,706325.66023591,   211.46074300,     0.00001292,
  344,    78.28179115,706191.54196170,   211.45820481,   165.00001292,
  345,    46.88314558,705822.83880113,   211.45122708,   165.00001290,
  346,   104.61032279,705501.52699769,   211.44514623,   165.00001289,
  347,   133.47391139,705336.07857297,   211.44201511,   165.00001288,
  348,   147.90570570,705545.56183718,   211.44597960,     0.00001289,
  349,   292.98360285,705745.16254605,   211.44975705,   330.00001290,
  350,   259.62855142,705551.86437734,   211.44609887,   330.00001289,
  351,   293.40052571,705359.31666969,   211.44245490,   330.00001288,
  352,   457.13951286,705819.28869279,   211.45115989,   165.00001290,
  353,   530.01800643,707299.17218088,   211.47916677,     0.00001296,
  354,   484.03975321,709124.47610168,   211.51371075,     0.00001303,
  355,   387.62412661,710396.47103825,   211.53778333,   165.00001308,
  356,   421.83381330,711259.49528284,   211.55411611,   165.00001311,
  357,   365.51215665,712082.71798148,   211.56969565,   165.00001314,
  358,   337.35132833,712636.87220702,   211.58018305,   230.00001316,
  359,   355.73841416,713173.43369617,   211.59033750,   165.00001318,
  360,   419.37745708,713974.64221711,   211.60550042,   165.00001321,
  361,   437.71047854,714923.40045371,   211.62345572,   165.00001325,
  362,   300.02398927,715954.32244801,   211.64296598,     0.00001329,
  363,   295.61624464,717026.47482114,   211.66325653,     0.00001333,
  364,   293.41237232,718086.72628350,   211.68332184,     0.00001337,
  365,   147.20618616,718582.83964057,   211.69271082,   165.00001339,
  366,   154.77184308,718532.40004516,   211.69175625,   165.00001338,
  367,   158.55467154,718502.38772316,   211.69118826,   165.00001338,
  368,    79.77733577,718337.38528800,   211.68806558,   165.00001338,
  369,   121.05741788,718104.88779626,   211.68366555,   165.00001337,
  370,    68.27095894,717851.67882638,   211.67887356,   165.00001336,
  371,   115.30422947,717588.11411743,   211.67388558,   165.00001335,
  372,   212.24736474,717880.70693903,   211.67942292,     0.00001336,
  373,   251.72793237,718715.86242552,   211.69522828,     0.00001339,
  374,   271.46821618,719360.61544456,   211.70743027,   165.00001341,
  375,   363.75585809,719910.01872992,   211.71782776,   165.00001344,
  376,   483.32617905,720840.76634841,   211.73544221,   165.00001347,
  377,   469.68483952,721962.18613324,   211.75666514,   165.00001351,
  378,   462.86416976,723046.77430110,   211.77719104,   165.00001355,
  379,   459.45383488,724112.94666047,   211.79736841,   165.00001359,
  380,   310.89566744,724905.57571573,   211.81236896,   165.00001362,
  381,   163.19008372,725164.93001871,   211.81727725,   165.00001363,
  382,    89.33729186,725025.47924561,   211.81463814,   165.00001363,
  383,   125.83739593,724818.79363441,   211.81072660,   165.00001362,
  384,   217.51394797,724842.82600446,   211.81118142,   165.00001362,
  385,   336.77872398,725246.55276499,   211.81882197,   165.00001364,
  386,   396.41111199,726269.29442048,   211.83817741,     0.00001368,
  387,   343.80980600,727601.69202342,   211.86339311,     0.00001373,
  388,   244.08265300,728659.89840012,   211.88341973,     0.00001377,
  389,   122.54132650,729319.82151356,   211.89590881,     0.00001379,
  390,    61.77066325,729651.58304539,   211.90218742,     0.00001380,
  391,    31.38533162,729819.26378641,   211.90536078,     0.00001381,
  392,    16.19266581,729499.90413203,   211.89931688,   225.00001380,
  393,    45.80858291,728909.50633016,   211.88814357,   165.00001378,
  394,   104.07304145,728288.29320440,   211.87638708,   330.00001375,
  395,   142.19627073,727543.57791691,   211.86229330,   330.00001372,
  396,   234.68438536,727033.96304836,   211.85264881,   330.00001371,
  397,   280.92844268,726540.06608944,   211.84330178,   460.00001369,
  398,   222.13247134,725789.57568536,   211.82909871,   460.00001366,
  399,   192.73448567,724880.33615894,   211.81189130,   460.00001362,
