TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
  198,    10.30337522,634906.29485057,   210.10912746,   196.00001022,
  199,     5.65168761,634229.41392682,   210.09631745,   196.00001019,
  200,    22.82584381,633575.07344664,   210.08393402,   196.00001017,
  201,    31.41292190,632967.10318845,   210.07242815,   196.00001014,
  202,    16.20646095,632347.21804112,   210.06069678,   196.00001012,
  203,     8.60323048,632039.07544921,   210.05486517,     0.00001011,
  204,     4.80161524,631710.40413502,   210.04864504,   196.00001010,
  205,    25.40080762,631411.96845969,   210.04299713,     0.00001009,
  206,    13.20040381,631481.45060400,   210.04431209,     0.00001009,
  207,     7.10020190,631165.19165791,   210.03832687,   196.00001008,
  208,   170.55010095,630779.36216663,   210.03102502,   196.00001006,
  209,   252.27505048,630834.84740318,   210.03207508,   196.00001006,
  210,   440.13752524,631375.59000322,   210.04230867,   196.00001008,
  211,   240.06876262,631894.36128490,   210.05212644,   196.00001010,
  212,   213.53438131,632005.24690749,   210.05422496,   196.00001011,
  213,   273.76719065,632176.78970077,   210.05747142,   196.00001011,
  214,   450.88359533,632775.56107895,   210.06880320,   196.00001014,
  215,   318.94179766,633808.44674980,   210.08835062,     0.00001018,
  216,   228.47089883,634793.78956677,   210.10699829,     0.00001021,
  217,   114.73544942,635411.56095702,   210.11868965,     0.00001024,
  218,    57.86772471,635722.24663369,   210.12456939,     0.00001025,
  219,    29.43386235,635879.38945357,   210.12754333,     0.00001026,
  220,    15.21693118,635959.76084506,   210.12906436,     0.00001026,
  221,     8.10846559,636001.74652235,   210.12985894,     0.00001026,
  222,     4.55423279,636024.53934233,   210.13029030,     0.00001026,
  223,     2.77711640,635684.93573386,   210.12386328,   196.00001025,
  224,     1.88855820,634987.73391139,   210.11066870,   196.00001022,
  225,     1.44427910,634288.13298170,   210.09742871,   196.00001019,
  226,     1.22213955,633553.13249862,   210.08351878,   215.00001017,
  227,     1.11106977,633170.33223884,   210.07627427,     0.00001015,
  228,     1.05553489,632821.43209049,   210.06967131,   196.00001014,
  229,     1.02776744,632472.38199808,   210.06306552,     0.00001013,
  230,     1.01388372,632476.05693385,   210.06313507,     0.00001013,
  231,     1.00694186,632479.69438350,   210.06320391,     0.00001013,
  232,     1.00347093,632483.31308987,   210.06327239,     0.00001013,
  233,     1.00173547,632486.92242481,   210.06334070,     0.00001013,
  234,   156.00086773,632467.12707426,   210.06296607,   168.00001013,
  235,   157.50043387,632426.62938053,   210.06219965,   168.00001012,
  236,   231.75021693,632522.48051564,   210.06401364,   168.00001013,
  237,   268.87510847,632818.80606496,   210.06962161,   168.00001014,
  238,   213.93755423,633083.06882116,   210.07462280,   168.00001015,
  239,   259.96877712,633331.30018103,   210.07932059,   168.00001016,
  240,   209.48438856,633571.51584251,   210.08386669,   168.00001017,
  241,   257.74219428,634110.12365501,   210.09405987,     0.00001019,
  242,   129.37109714,634806.92754280,   210.10724693,     0.00001021,
  243,    65.18554857,635157.12946846,   210.11387452,     0.00001023,
  244,    33.09277428,635334.03041284,   210.11722238,     0.00001023,
  245,    17.04638714,635071.48086657,   210.11225361,   196.00001022,
  246,     9.02319357,634412.80607509,   210.09978815,   196.00001020,
  247,     9.51159679,633740.56866111,   210.08706602,   196.00001017,
  248,    98.25579839,633228.94993567,   210.07738361,   196.00001015,
  249,   142.62789920,632956.94055471,   210.07223582,   196.00001014,
  250,   238.31394960,632937.03584599,   210.07185912,   196.00001014,
  251,   212.65697480,633043.18347339,   210.07386797,   196.00001015,
  252,   199.82848740,633080.05726885,   210.07456581,   196.00001015,
